"target.ID";"category";"treatment";"caller.ID";"status_caller";"length_call";"call_nr_elements";"call_elongated_duplication";"calling";"calling_distress";"min_dist";"approach_duration";"reaction_duration";"OBS_PerchDurPerEv"
20;4;"distress unfamiliar";"H";"non-breeder";"00:08";10;"no";7;0;1;21;96;NA
21;5;"distress familiar";"K";"non-breeder";"00:08";5;"no";18;2;1;154;181;21.5714285714286
21;5;"distress unfamiliar";"Q";"breeder";"00:07";5;"no";13;3;1;106;154;NA
21;1;"social unfamiliar";NA;NA;NA;NA;NA;10;0;1;131;0;NA
21;0;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
22;3;"pine grosbeak";NA;NA;NA;NA;NA;0;0;4;7;86;NA
22;3;"social unfamiliar";NA;NA;NA;NA;NA;0;0;4;7;86;NA
22;3;"distress familiar";"U";"breeder";"00:06";9;"no";0;0;2;22;21;9.75
22;4;"distress unfamiliar";"A";"breeder";"00:06";10;"no";3;0;4;50;840;NA
23;1;"distress familiar";"I";"non-breeder";"00:07";6;"yes (3x)";4;0;4;83;0;0
23;1;"distress unfamiliar";"S";"non-breeder";"00:07";4;"no";0;0;5;0;0;NA
23;3;"social unfamiliar";NA;NA;NA;NA;NA;0;0;4;15;22;NA
23;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
24;3;"distress familiar";"R";"non-breeder";"00:08";8;"no";0;0;0;32;21;0
24;4;"distress unfamiliar";"H";"non-breeder";"00:08";6;"no";1;0;1;9;130;NA
24;4;"social unfamiliar";NA;NA;NA;NA;NA;1;0;0;13;61;NA
24;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
25;4;"distress familiar";"D";"non-breeder";"00:10";12;"no";24;0;3;23;502;20.6666666666667
25;3;"distress unfamiliar";"C";"non-breeder";"00:10";11;"no";0;0;1;22;1800;NA
25;4;"social unfamiliar";NA;NA;NA;NA;NA;5;0;2;23;234;NA
25;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
26;4;"distress familiar";"I";"non-breeder";"00:07";6;"yes (3x)";1;0;3;13;336;17.1
26;3;"distress unfamiliar";"S";"non-breeder";"00:07";4;"no";0;0;3;52;45;NA
27;0;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
27;0;"social unfamiliar";NA;NA;NA;NA;NA;1;0;5;0;0;NA
27;3;"distress familiar";"P";"non-breeder";"00:11";9;"no";0;0;2;20;22;21.1578947368421
27;1;"distress unfamiliar";"F";"non-breeder";"00:11";10;"no";0;0;5;0;0;NA
